,,,,,,,,,,,,,,,,,,,,,,,,
Index,Key,Street Number,Street,Unit,Model,Units,Mutual,Bldg Date,Bldg Code,Phase,Parking Type,Building Type,Elvator (Y/N),SomeOneLives,Steps (Y/N),# of Front Steps,# of Back Steps,Distance to Drop,Distance to Parking,Parking Grade,Carport #,APN,Location,HoaAmount
11119,5005-,5005,Duverney,,Villa Terraza,1,Condominium,9/1/1973,C10RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-005,"33.61486,-117.74511",#N/A
11123,5009-,5009,Duverney,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-009,"33.61456,-117.74556",#N/A
11125,5011-,5011,Duverney,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-011,"33.61491,-117.74566",#N/A
11135,5021-,5021,Jardin,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-021,"33.61474,-117.74678",#N/A
11139,5025-,5025,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-025,"33.61467,-117.74754",#N/A
11145,5031-,5031,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-031,"33.61507,-117.74854",#N/A
11148,5034-,5034,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-034,"33.6154,-117.74897",#N/A
11155,5041-,5041,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-041,"33.61627,-117.74936",#N/A
11157,5043-,5043,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-043,"33.61663,-117.74913",#N/A
11160,5046-,5046,Avenida Del Sol,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-046,"33.61699,-117.74885",#N/A
